"filename", "language", "JSON", "TypeScript", "TypeScript JSX", "JSON with Comments", "XML", "Markdown", "JavaScript", "WebAssembly Text Format", "HTML", "Prisma", "CSS", "Properties", "comment", "blank", "total"
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\color-data-table.tsx", "TypeScript JSX", 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 185
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\color\delete-color-btn.tsx", "TypeScript JSX", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 94
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\color\edit-color-form.tsx", "TypeScript JSX", 0, 0, 536, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 37, 588
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\color\select-3d-model.tsx", "TypeScript JSX", 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 152
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\configuration-column.tsx", "TypeScript JSX", 0, 0, 336, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 352
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\configuration\add-configuration-value-btn.tsx", "TypeScript JSX", 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 208
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\configuration\add-configuration-visibility-condtion-btn.tsx", "TypeScript JSX", 0, 0, 371, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18, 391
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\configuration\change\change-configuration-value.tsx", "TypeScript JSX", 0, 0, 220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26, 250
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\configuration\change\delete-configuration-change-btn.tsx.tsx", "TypeScript JSX", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 94
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\configuration\change\edit-configuration-change-btn.tsx", "TypeScript JSX", 0, 0, 842, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41, 887
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\configuration\change\new-configuration-change-btn.tsx", "TypeScript JSX", 0, 0, 798, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40, 841
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\configuration\change\view-configuration-cange.tsx", "TypeScript JSX", 0, 0, 420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22, 446
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\configuration\configuration-value-list.tsx", "TypeScript JSX", 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 154
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\configuration\configuration-visibility-condition.tsx", "TypeScript JSX", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 60
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\configuration\delete-configuration-btn.tsx", "TypeScript JSX", 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 166
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\configuration\delete-configuration-visibility-condition-btn.tsx", "TypeScript JSX", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 85
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\configuration\delete-value-btn.tsx", "TypeScript JSX", 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 155
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\configuration\edit-configuration-visibility-condition-btn.tsx", "TypeScript JSX", 0, 0, 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24, 396
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\configuration\edit-configutation.tsx", "TypeScript JSX", 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18, 187
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\configuration\edit-value-form.tsx", "TypeScript JSX", 0, 0, 266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20, 288
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\configuration\view-configuration-visibility-condition.tsx", "TypeScript JSX", 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 170
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\configurations-data-table.tsx", "TypeScript JSX", 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 142
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\delete-variante-btn.tsx", "TypeScript JSX", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 88
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\edit-node-btn.tsx", "TypeScript JSX", 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 152
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\edit-variant.tsx", "TypeScript JSX", 0, 0, 375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20, 402
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\new-color-btn.tsx", "TypeScript JSX", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 128
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\new-configuration-btn.tsx", "TypeScript JSX", 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 208
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\new-node-btn.tsx", "TypeScript JSX", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 161
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\new-selector-btn.tsx", "TypeScript JSX", 0, 0, 416, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 33, 464
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\node-column.tsx", "TypeScript JSX", 0, 0, 261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 270
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\node-data-table.tsx", "TypeScript JSX", 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 138
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\reorder-color-btn.tsx", "TypeScript JSX", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 115
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\reorder-configurations-btn.tsx", "TypeScript JSX", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 117
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\reorder-selectors-btn.tsx", "TypeScript JSX", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 118
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\selector-column.tsx", "TypeScript JSX", 0, 0, 359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 375
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\selector-data-table.tsx", "TypeScript JSX", 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 186
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\selector\add-selector-value-btn.tsx", "TypeScript JSX", 0, 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 205
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\selector\add-visibility-condition-btn.tsx", "TypeScript JSX", 0, 0, 399, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 424
